date,time,longitude,latitude,attack_type,nearest_country,shore_distance,attack_description,vessel_name,vessel_type
1995-04-12,,117.25,-1.0416667,Boarding,IDN,11.65232426,,Arctic Trader,
1995-04-18,,114.2617,11.0466667,Hijacked,CHN,1.142258373,,Vietxo 8,
1995-04-18,,104.75,-2.9765,Boarding,IDN,32.92288346,,Hafetzah,
1995-04-18,,106.6,7.9166667,Attempted,VNM,81.24360354,,Kuanyin,
1995-04-22,,50.8,12.15,Hijacked,SOM,17.79867237,,Radnor,
1995-04-26,,106.875,-6.0886667,Boarding,IDN,4.407541808,,Bass Reefer,
1995-04-28,,50.7167,12.1333333,Attempted,SOM,17.39666062,,Ming Bright,
1995-04-28,,-46.2872,-23.9761667,Boarding,BRA,0.5597724632,,Nordcloud,
1995-04-29,,124.6,5.8833333,Attempted,PHL,11.26466144,,Johanna,
1995-05-01,,53.3833,12.95,Attempted,YEM,29.20640232,,Darya Geeth,
1995-05-01,,53.3833,12.95,Attempted,YEM,29.20640232,,DSR Tianjin,
1995-05-01,,105.9167,-6.0433333,Boarding,IDN,4.388564132,,LPG/C Prins Philips Willem,
1995-05-03,,51.0333,12.2,Attempted,SOM,30.40064263,,Liliana Dimitrova,
1995-05-03,,50.0678,4.7999,Attempted,SOM,174.5903662,,LPG Gas Al-Kuwait,
1995-05-03,,50.85,12.1,Attempted,SOM,13.51596071,,Mecca 1,
1995-05-05,,118.1167,5.8266667,Boarding,MYS,2.313767863,,LPG Java Rainbow,
1995-05-05,,124.3167,5.8,Attempted,PHL,36.23712004,,LPG Lady Rowena,
1995-05-09,,100.6067,13.3516667,Boarding,THA,18.45410035,,Zim Bangkok,
1995-05-10,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,Stolt Spur,
1995-05-11,,11.3063,56.5878,,DNK,17.20167168,,Anholt,
1995-05-12,,43.435,12.0072,Hijacked,DJI,4.654284947,,SB408,
1995-05-12,,113.5333,22.1333333,Boarding,CHN,1.043415764,,Egmondgracht,
1995-05-14,,113.2753,23.108,Boarding,CHN,12.93366196,,Quebec,
1995-05-15,,112.7467,-7.1885,Boarding,IDN,1.852101831,,Zervos,
1995-05-16,,-43.1667,-22.8933333,Boarding,BRA,0.5391398523,,IBN Qutalbah,
1995-05-18,,104.1099,1.323,Boarding,MYS,5.049369497,,SMF 1104,
1995-05-21,,113.8,22.1166667,Boarding,CHN,10.11223592,,Great Cheer,
1995-05-31,,50.0833,12.015,Hijacked,SOM,49.57221637,,Anomis,
